Company,Ticker,Industry Bucket,Category,Sub-Category
Intelligent Living Application Group Inc.,ILAG,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"JELD-WEN Holding, Inc.",JELD,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"Janus International Group, Inc.",JBI,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Johnson Controls International plc,JCI,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Julong Holding Limited,JLHL,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"Latham Group, Inc.",SWIM,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Lennox International Inc.,LII,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"Limbach Holdings, Inc.",LMB,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Louisiana-Pacific Corporation,LPX,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Madison Air Solutions Corporation,MAIR,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Masco Corporation,MAS,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
NPK International Inc.,NPKI,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Owens Corning,OC,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"Perma-Pipe International Holdings, Inc.",PPIH,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Quanex Building Products Corporation,NX,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"SPX Technologies, Inc.",SPXC,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Trane Technologies plc,TT,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"Trex Company, Inc.",TREX,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"Universal Safety Products, Inc",UUU,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
ACCO Brands Corporation,ACCO,Industrials : Industrial Distribution & Business Equipment,Industrials,Distribution & Diversified Industrials
Acacia Research Corporation,ACTG,Industrials : Industrial Distribution & Business Equipment,Industrials,Distribution & Diversified Industrials
"Ennis, Inc.",EBF,Industrials : Industrial Distribution & Business Equipment,Industrials,Distribution & Diversified Industrials
Eshallgo Inc.,EHGO,Industrials : Industrial Distribution & Business Equipment,Industrials,Distribution & Diversified Industrials
Xerox Holdings Corporation,XRX,Industrials : Industrial Distribution & Business Equipment,Industrials,Distribution & Diversified Industrials
3M Company,MMM,Industrials : Diversified Industrials & Infrastructure,Industrials,Distribution & Diversified Industrials
"Air T, Inc.",AIRT,Industrials : Diversified Industrials & Infrastructure,Industrials,Distribution & Diversified Industrials
Boston Omaha Corporation,BOC,Industrials : Diversified Industrials & Infrastructure,Industrials,Distribution & Diversified Industrials
Brookfield Business Corporation,BBUC,Industrials : Diversified Industrials & Infrastructure,Industrials,Distribution & Diversified Industrials
Compass Diversified,CODI,Industrials : Diversified Industrials & Infrastructure,Industrials,Distribution & Diversified Industrials
"Cresud Sociedad Anónima, Comercial, Inmobiliaria, Financiera y Agropecuaria",CRESY,Industrials : Diversified Industrials & Infrastructure,Industrials,Distribution & Diversified Industrials
DMC Global Inc.,BOOM,Industrials : Diversified Industrials & Infrastructure,Industrials,Distribution & Diversified Industrials
Deluxe Corporation,DLX,Industrials : Diversified Industrials & Infrastructure,Industrials,Distribution & Diversified Industrials
FTAI Infrastructure Inc.,FIP,Industrials : Diversified Industrials & Infrastructure,Industrials,Distribution & Diversified Industrials
"Falcon's Beyond Global, Inc.",FBYD,Industrials : Diversified Industrials & Infrastructure,Industrials,Distribution & Diversified Industrials
Graham Holdings Company,GHC,Industrials : Diversified Industrials & Infrastructure,Industrials,Distribution & Diversified Industrials
"Harte Hanks, Inc.",HHS,Industrials : Diversified Industrials & Infrastructure,Industrials,Distribution & Diversified Industrials
Honeywell International Inc.,HON,Industrials : Diversified Industrials & Infrastructure,Industrials,Distribution & Diversified Industrials
"Hyperscale Data, Inc.",GPUS,Industrials : Diversified Industrials & Infrastructure,Industrials,Distribution & Diversified Industrials
LogProstyle Inc.,LGPS,Industrials : Diversified Industrials & Infrastructure,Industrials,Distribution & Diversified Industrials
"Mammoth Energy Services, Inc.",TUSK,Industrials : Diversified Industrials & Infrastructure,Industrials,Distribution & Diversified Industrials
Matthews International Corporation,MATW,Industrials : Diversified Industrials & Infrastructure,Industrials,Distribution & Diversified Industrials
MaxsMaking Inc.,MAMK,Industrials : Diversified Industrials & Infrastructure,Industrials,Distribution & Diversified Industrials
"NN, Inc.",NNBR,Industrials : Diversified Industrials & Infrastructure,Industrials,Distribution & Diversified Industrials
Otter Tail Corporation,OTTR,Industrials : Diversified Industrials & Infrastructure,Industrials,Distribution & Diversified Industrials
